currency,date
CHF,2013 Aug 1
AUD,2013 Aug 4
CAD,2013 Aug 5
EUR,2013 Aug 15
EUR,2013 Aug 15
GBP,2013 Aug 26
CAD,2009 Sep 7
USD,2009 Sep 7
JPY,2009 Sep 20
JPY,2009 Sep 21
JPY,2009 Sep 22
NZD,2009 Sep 26
CNY,2009 Sep 30
NZD,2007 Feb 5
JPY,2007 Feb 11
CNY,2007 Feb 18
USD,2007 Feb 19
CNY,2007 Feb 19
CNY,2007 Feb 20
CNY,2007 Feb 21
CNY,2007 Feb 22
NZD,2013 Jun 2
AUD,2013 Jun 9
CNY,2013 Jun 9
CNY,2013 Jun 10
CNY,2013 Jun 11
EUR,2010 Dec 8
JPY,2010 Dec 22
EUR,2010 Dec 24
NZD,2010 Dec 26
AUD,2010 Dec 26
GBP,2010 Dec 27
CAD,2010 Dec 27
NZD,2010 Dec 27
AUD,2010 Dec 27
GBP,2010 Dec 28
CAD,2010 Dec 28
JPY,2010 Dec 30
EUR,2010 Dec 31
CHF,2021 Jan 1
EUR,2021 Jan 1
EUR,2021 Jan 1
EUR,2021 Jan 1
GBP,2021 Jan 1
CAD,2021 Jan 1
USD,2021 Jan 1
NZD,2021 Jan 3
EUR,2021 Jan 6
JPY,2021 Jan 10
USD,2021 Jan 18
AUD,2021 Jan 25
CHF,2020 May 1
EUR,2020 May 1
EUR,2020 May 1
EUR,2020 May 1
JPY,2020 May 3
JPY,2020 May 4
JPY,2020 May 5
EUR,2020 May 8
GBP,2020 May 8
CAD,2020 May 18
CHF,2020 May 21
EUR,2020 May 21
EUR,2020 May 21
GBP,2020 May 25
USD,2020 May 25
NZD,2020 May 31
EUR,2018 Nov 1
EUR,2018 Nov 1
CAD,2018 Nov 4
USD,2018 Nov 4
CAD,2018 Nov 12
USD,2018 Nov 12
USD,2018 Nov 22
JPY,2018 Nov 22
CAD,2010 Jul 1
USD,2010 Jul 5
EUR,2010 Jul 14
JPY,2010 Jul 18
CAD,2016 Jul 1
USD,2016 Jul 4
EUR,2016 Jul 14
JPY,2016 Jul 17
AUD,2016 Jul 31
NZD,2021 Feb 7
JPY,2021 Feb 10
CNY,2021 Feb 10
CNY,2021 Feb 11
CNY,2021 Feb 14
USD,2021 Feb 15
CNY,2021 Feb 15
CNY,2021 Feb 16
JPY,2021 Feb 22
EUR,2011 Dec 8
JPY,2011 Dec 22
NZD,2011 Dec 25
AUD,2011 Dec 25
CHF,2011 Dec 26
EUR,2011 Dec 26
EUR,2011 Dec 26
GBP,2011 Dec 26
CAD,2011 Dec 26
USD,2011 Dec 26
NZD,2011 Dec 26
AUD,2011 Dec 26
GBP,2011 Dec 27
CAD,2011 Dec 27
CAD,2011 Sep 5
USD,2011 Sep 5
CNY,2011 Sep 11
JPY,2011 Sep 18
JPY,2011 Sep 22
NZD,2011 Sep 24
AUD,2021 Oct 2
AUD,2021 Oct 3
CNY,2021 Oct 3
CNY,2021 Oct 4
CNY,2021 Oct 5
CNY,2021 Oct 6
CAD,2021 Oct 11
USD,2021 Oct 11
NZD,2021 Oct 24
CHF,2021 Oct 30
EUR,2021 Oct 30
GBP,2021 Oct 30
CHF,2014 May 1
EUR,2014 May 1
EUR,2014 May 1
EUR,2014 May 1
CNY,2014 May 1
JPY,2014 May 4
GBP,2014 May 5
JPY,2014 May 5
EUR,2014 May 8
CAD,2014 May 19
GBP,2014 May 26
USD,2014 May 26
CHF,2014 May 29
EUR,2014 May 29
EUR,2014 May 29
EUR,2021 Jun 2
NZD,2021 Jun 6
AUD,2021 Jun 13
CNY,2021 Jun 13
EUR,2021 Jun 29
CHF,2007 Aug 1
CAD,2007 Aug 6
EUR,2007 Aug 15
EUR,2007 Aug 15
GBP,2007 Aug 27
CHF,2013 Apr 1
EUR,2013 Apr 1
EUR,2013 Apr 1
EUR,2013 Apr 1
GBP,2013 Apr 1
CNY,2013 Apr 3
CNY,2013 Apr 4
NZD,2013 Apr 6
AUD,2013 Apr 6
NZD,2013 Apr 24
AUD,2013 Apr 24
EUR,2013 Apr 25
JPY,2013 Apr 28
CNY,2013 Apr 28
CNY,2013 Apr 29
CNY,2013 Apr 30
CHF,2017 Aug 1
AUD,2017 Aug 6
CAD,2017 Aug 7
JPY,2017 Aug 10
EUR,2017 Aug 15
EUR,2017 Aug 15
GBP,2017 Aug 28
CHF,2011 Jun 2
EUR,2011 Jun 2
EUR,2011 Jun 2
EUR,2011 Jun 2
NZD,2011 Jun 5
CNY,2011 Jun 5
AUD,2011 Jun 12
CHF,2011 Jun 13
EUR,2011 Jun 13
EUR,2011 Jun 13
EUR,2011 Jun 29
CAD,2009 Aug 3
GBP,2009 Aug 31
EUR,2022 Dec 8
NZD,2022 Dec 25
AUD,2022 Dec 25
CHF,2022 Dec 26
EUR,2022 Dec 26
EUR,2022 Dec 26
GBP,2022 Dec 26
CAD,2022 Dec 26
USD,2022 Dec 26
NZD,2022 Dec 26
AUD,2022 Dec 26
GBP,2022 Dec 27
CAD,2022 Dec 27
CHF,2019 Jan 1
EUR,2019 Jan 1
EUR,2019 Jan 1
EUR,2019 Jan 1
GBP,2019 Jan 1
CAD,2019 Jan 1
USD,2019 Jan 1
NZD,2019 Jan 1
JPY,2019 Jan 1
CHF,2019 Jan 2
JPY,2019 Jan 2
JPY,2019 Jan 13
USD,2019 Jan 21
AUD,2019 Jan 27
EUR,2021 Dec 8
EUR,2021 Dec 24
USD,2021 Dec 24
NZD,2021 Dec 26
AUD,2021 Dec 26
GBP,2021 Dec 27
CAD,2021 Dec 27
NZD,2021 Dec 27
AUD,2021 Dec 27
GBP,2021 Dec 28
CAD,2021 Dec 28
JPY,2021 Dec 30
EUR,2021 Dec 31
CNY,2008 Apr 3
NZD,2008 Apr 5
AUD,2008 Apr 5
NZD,2008 Apr 24
AUD,2008 Apr 24
EUR,2008 Apr 25
JPY,2008 Apr 28
CNY,2008 Apr 30
EUR,2011 Nov 1
EUR,2011 Nov 1
JPY,2011 Nov 2
CAD,2011 Nov 6
USD,2011 Nov 6
EUR,2011 Nov 11
CAD,2011 Nov 11
USD,2011 Nov 11
JPY,2011 Nov 22
USD,2011 Nov 24
JPY,2013 Dec 22
EUR,2013 Dec 24
NZD,2013 Dec 24
AUD,2013 Dec 24
CHF,2013 Dec 25
EUR,2013 Dec 25
EUR,2013 Dec 25
EUR,2013 Dec 25
GBP,2013 Dec 25
CAD,2013 Dec 25
USD,2013 Dec 25
NZD,2013 Dec 25
AUD,2013 Dec 25
CHF,2013 Dec 26
EUR,2013 Dec 26
EUR,2013 Dec 26
GBP,2013 Dec 26
CAD,2013 Dec 26
JPY,2013 Dec 30
EUR,2013 Dec 31
NZD,2013 Dec 31
AUD,2013 Dec 31
JPY,2013 Dec 31
CNY,2013 Dec 31
EUR,2014 Dec 8
JPY,2014 Dec 22
EUR,2014 Dec 24
NZD,2014 Dec 24
AUD,2014 Dec 24
CHF,2014 Dec 25
EUR,2014 Dec 25
EUR,2014 Dec 25
EUR,2014 Dec 25
GBP,2014 Dec 25
CAD,2014 Dec 25
USD,2014 Dec 25
NZD,2014 Dec 25
AUD,2014 Dec 25
CHF,2014 Dec 26
EUR,2014 Dec 26
EUR,2014 Dec 26
GBP,2014 Dec 26
CAD,2014 Dec 26
JPY,2014 Dec 30
EUR,2014 Dec 31
NZD,2014 Dec 31
AUD,2014 Dec 31
CNY,2014 Dec 31
JPY,2014 Dec 31
AUD,2011 Oct 1
AUD,2011 Oct 2
CNY,2011 Oct 2
EUR,2011 Oct 3
CNY,2011 Oct 3
CNY,2011 Oct 4
CNY,2011 Oct 5
CNY,2011 Oct 6
JPY,2011 Oct 9
CAD,2011 Oct 10
USD,2011 Oct 10
NZD,2011 Oct 23
CHF,2011 Oct 29
EUR,2011 Oct 29
GBP,2011 Oct 29
NZD,2015 Apr 2
AUD,2015 Apr 2
CHF,2015 Apr 3
EUR,2015 Apr 3
GBP,2015 Apr 3
CAD,2015 Apr 3
NZD,2015 Apr 4
AUD,2015 Apr 4
NZD,2015 Apr 5
AUD,2015 Apr 5
CNY,2015 Apr 5
CHF,2015 Apr 6
EUR,2015 Apr 6
EUR,2015 Apr 6
EUR,2015 Apr 6
GBP,2015 Apr 6
NZD,2015 Apr 26
JPY,2015 Apr 28
CNY,2015 Apr 30
NZD,2012 Jan 1
AUD,2012 Jan 1
CNY,2012 Jan 1
JPY,2012 Jan 1
CHF,2012 Jan 2
EUR,2012 Jan 2
EUR,2012 Jan 2
GBP,2012 Jan 2
CAD,2012 Jan 2
USD,2012 Jan 2
NZD,2012 Jan 2
CNY,2012 Jan 2
JPY,2012 Jan 2
EUR,2012 Jan 6
JPY,2012 Jan 8
USD,2012 Jan 16
CNY,2012 Jan 22
CNY,2012 Jan 23
CNY,2012 Jan 24
AUD,2012 Jan 25
CNY,2012 Jan 25
CNY,2012 Jan 26
NZD,2020 Feb 5
JPY,2020 Feb 10
USD,2020 Feb 17
JPY,2020 Feb 23
CAD,2017 Sep 4
USD,2017 Sep 4
JPY,2017 Sep 17
NZD,2017 Sep 23
AUD,2017 Sep 30
CHF,2013 Jan 1
EUR,2013 Jan 1
EUR,2013 Jan 1
EUR,2013 Jan 1
GBP,2013 Jan 1
CAD,2013 Jan 1
USD,2013 Jan 1
NZD,2013 Jan 1
JPY,2013 Jan 1
CNY,2013 Jan 1
CHF,2013 Jan 2
JPY,2013 Jan 2
CNY,2013 Jan 2
JPY,2013 Jan 13
USD,2013 Jan 21
AUD,2013 Jan 27
CNY,2015 Sep 2
CNY,2015 Sep 3
CAD,2015 Sep 7
USD,2015 Sep 7
JPY,2015 Sep 20
JPY,2015 Sep 21
JPY,2015 Sep 22
NZD,2015 Sep 26
CNY,2015 Sep 30
CNY,2016 May 1
GBP,2016 May 2
JPY,2016 May 2
JPY,2016 May 3
JPY,2016 May 4
CHF,2016 May 5
EUR,2016 May 5
EUR,2016 May 5
CHF,2016 May 16
EUR,2016 May 16
EUR,2016 May 16
CAD,2016 May 23
GBP,2016 May 30
USD,2016 May 30
NZD,2018 Feb 5
JPY,2018 Feb 11
CNY,2018 Feb 14
CNY,2018 Feb 15
CNY,2018 Feb 18
USD,2018 Feb 19
CNY,2018 Feb 19
CNY,2018 Feb 20
CHF,2014 Jan 1
EUR,2014 Jan 1
EUR,2014 Jan 1
EUR,2014 Jan 1
GBP,2014 Jan 1
CAD,2014 Jan 1
USD,2014 Jan 1
NZD,2014 Jan 1
JPY,2014 Jan 1
CNY,2014 Jan 1
CHF,2014 Jan 2
JPY,2014 Jan 2
EUR,2014 Jan 6
JPY,2014 Jan 12
USD,2014 Jan 20
AUD,2014 Jan 26
CNY,2014 Jan 30
CNY,2013 Oct 1
CNY,2013 Oct 2
EUR,2013 Oct 3
CNY,2013 Oct 3
AUD,2013 Oct 5
AUD,2013 Oct 6
JPY,2013 Oct 13
CAD,2013 Oct 14
USD,2013 Oct 14
CHF,2013 Oct 26
EUR,2013 Oct 26
GBP,2013 Oct 26
NZD,2013 Oct 27
CHF,2016 Aug 1
CAD,2016 Aug 1
JPY,2016 Aug 10
EUR,2016 Aug 15
EUR,2016 Aug 15
GBP,2016 Aug 29
CHF,2017 May 1
EUR,2017 May 1
EUR,2017 May 1
EUR,2017 May 1
GBP,2017 May 1
JPY,2017 May 2
JPY,2017 May 3
JPY,2017 May 4
EUR,2017 May 8
CAD,2017 May 22
CHF,2017 May 25
EUR,2017 May 25
EUR,2017 May 25
CNY,2017 May 28
GBP,2017 May 29
USD,2017 May 29
CNY,2017 May 29
USD,2020 Sep 7
CAD,2020 Sep 7
JPY,2020 Sep 20
JPY,2020 Sep 21
NZD,2020 Sep 26
CNY,2020 Sep 27
CNY,2020 Sep 30
AUD,2021 Aug 1
CAD,2021 Aug 2
